,gene,label,ST
1243,BCL2L14,NRPs_like_SHHb1,5.411006e-07
357,GABRA1,GABAergic,5.2937537e-07
2765,TNR,Pre_OLs,5.261018e-07
449,AC098829.1,GRPs_like_TYR1,5.256277e-07
739,RBFOX1,Glutamatergic,5.049503e-07
2064,LINC01524,OPCs_like_MYC2,4.813299e-07
2001,LINC01515,OPCs_like_MYC2,4.7937993e-07
1618,CHAT,NRPs_like_SHHb4,4.6291223e-07
2061,AL096854.1,OPCs_like_MYC2,4.4679908e-07
770,AP001977.1,IPCs/OPCs_like_SHHa1,4.2893316e-07
1436,ALK,NRPs_like_SHHb3,4.159295e-07
471,DDX3Y,GRPs_like_TYR2,4.1361247e-07
717,GRIN2B,Glutamatergic,4.1361247e-07
2745,BCAS1,Pre_OLs,4.1060747e-07
2040,SLC4A10,OPCs_like_MYC2,3.9045392e-07
963,DANT2,IPCs_like_SHHa5,3.7737914e-07
1615,ACOT12,NRPs_like_SHHb4,3.7343415e-07
2679,AC107419.1,OPCs_like_MYC7,3.6462419e-07
2286,AC002463.1,OPCs_like_MYC4,3.5253908e-07
1087,ASIC2,ImmatureNeurons_like_SHHa3,3.3754876e-07
2170,AC093879.1,OPCs_like_MYC3,3.3397617e-07
2703,DGKG,Pre_OLs,3.287569e-07
1619,AC097528.1,NRPs_like_SHHb4,3.2710972e-07
1579,AC117461.1,NRPs_like_SHHb4,3.2497613e-07
2388,TTC29,OPCs_like_MYC5,3.1356592e-07
1734,GLDN,OLs,2.939011e-07
2147,AL139317.5,OPCs_like_MYC3,2.40818e-07
2339,KCNH5,OPCs_like_MYC5,2.0494815e-07
1702,LURAP1L-AS1,OLs,1.9111806e-07
1756,IL1RAPL1,OLs,1.6937076e-07
1772,MOBP,OLs,1.6937076e-07
1269,AC068931.1,NRPs_like_SHHb1,0.0
1418,AC106845.1,NRPs_like_SHHb3,0.0
1278,AC007432.1,NRPs_like_SHHb1,0.0
1280,CASC17,NRPs_like_SHHb1,0.0
1413,AC083870.1,NRPs_like_SHHb3,0.0
1870,AC009315.1,OPCs_like_MYC1,0.0
1281,AC073050.1,NRPs_like_SHHb1,0.0
1260,AL354771.1,NRPs_like_SHHb1,0.0
2628,CFAP47,OPCs_like_MYC7,0.0
1252,GNG12-AS1,NRPs_like_SHHb1,0.0
1923,AC093916.1,OPCs_like_MYC1,0.0
1221,LNCAROD,Microglia,0.0
1435,AC139720.1,NRPs_like_SHHb3,0.0
1103,KCNH7,ImmatureNeurons_like_SHHa3,0.0
1098,KCNB2,ImmatureNeurons_like_SHHa3,0.0
2011,CRPPA,OPCs_like_MYC2,0.0
1092,MDGA2,ImmatureNeurons_like_SHHa3,0.0
1086,SCN1A-AS1,ImmatureNeurons_like_SHHa3,0.0
1082,AC069228.1,ImmatureNeurons_like_SHHa3,0.0
2050,LINC01237,OPCs_like_MYC2,0.0
2052,DPP4,OPCs_like_MYC2,0.0
2060,AC060809.1,OPCs_like_MYC2,0.0
1988,AC098588.3,OPCs_like_MYC2,0.0
1464,AP000462.1,NRPs_like_SHHb3,0.0
